cursor-follow	Cursor Follow	Hero	hero	hero	false		https://stream.mux.com/KC7RfHYZzKCZlzTUxLf1KsamaPFVpd4ZrCS02S01CXx5w.m3u8
cybersecurity-hero	Cybersecurity Hero	Hero	hero	hero	true		https://stream.mux.com/02UEPE3F00WgHUukugHlZDQfLYL7D691esS00MqeG02GYGQ.m3u8
cybersecurity-hero-v2	Cybersecurity Hero v2	Hero	hero	hero	false		https://stream.mux.com/EGZKHfCExbpcjrlFHe4fiPcNqOdMQR5hp2RCwYt6n9U.m3u8
daisy-sweet	Daisy Sweet	Product	features	hero	false		https://stream.mux.com/Ezi3dvIOnNXtda1cNpQeVp6mFjcuoHuQZzllRSOJn02k.m3u8
daisy-wild	Daisy Wild	Product	features	hero	true		https://stream.mux.com/2Hw6m1j8Uwe01mclRo02ASjEsewZOp6E7eITdToiIyfvs.m3u8
dashboard	Dashboard UI	Dashboard	dashboard	landing	false		https://stream.mux.com/d9Hv9NuqK501CgRYX6l5SgAbYuTYg399On4jee0101pmuI.m3u8
dreamcore-landing	Dreamcore Landing	Landing Page	hero	hero	false		https://stream.mux.com/XG9nlYYapGLVCNhOUW015BeaSWZe1atIOtYJSfroBB8g.m3u8
editorial-collection-cta	Editorial Collection CTA	CTA	cta	hero	false		https://stream.mux.com/DTPVD6uBVGL3hcYkMhSWHIfBKn36Prf2c8nNO6WNNBE.m3u8
email-landing-page	Email Landing Page	Landing page	landing	landing	true		https://stream.mux.com/p2cKLBgPeQElq5VAKGkwX4PoTY01s01YOV111XWrnLn88.m3u8
equilibrium	Equilibrium	Hero	hero	hero	true		https://stream.mux.com/QXSAAL9UTEAH3SoaMLIkSSb01m02TgV1qtSWjzPNO1pFY.m3u8
evergreen-finance	Evergreen Finance	Fintech	hero	landing	false		https://stream.mux.com/UZ6YDFTzycviAul5j5W3G02c4rXsea2J72zzUcrsfpWE.m3u8
faq-cta	FAQ CTA	CTA	cta	hero	true		https://stream.mux.com/F01M5JCF004R9SYNgG02wRlscqRn5tacvrc500Mgb2cKzBc.m3u8
features	Capabilities Overview	Features	features	hero	false		https://stream.mux.com/Dm01u57XrTAyPQTbaoW00IVyQ4AiyM11YKaLneeIQNgQ4.m3u8
feedback-slider	Feedback Slider	Slider	carousel	hero	false		https://stream.mux.com/FeOmhsXKAvL3QxXrQwuFI8K700Ylnbymb48c7RQLtAAQ.m3u8
financialfocus	FinancialFocus	Hero	hero	hero	false		https://stream.mux.com/eUDOG69mv8ysdWdFT2pPEAI6KDi1wEi2mnVZRbDGDQo.m3u8
finflow	FinFlow	Fintech	hero	hero	false		https://stream.mux.com/lc4s01TqqDHxVTc01xNacwF2tHu3CdTXQflRRS8H02WYDs.m3u8
flowmate-carousal	FlowMate Carousal	Carousal	carousel	hero	false		https://stream.mux.com/X8AjtU00FDeCixHs8agDzlF8iWDBK4w02TIEwiqJ1ngl8.m3u8
futuristic-cinematic	Futuristic Cinematic	Hero	hero	hero	false		https://stream.mux.com/TzDBHDPqamrkQ00900jiCGdpwiXhbA6NtUR4vGX52Xdpk.m3u8
futuristic-tech	Futuristic Tech	Hero	hero	hero	false		https://stream.mux.com/tUK02l9TnCsQ4rRkRwzmxHH9seRRf4w3xEukxm6UKo9I.m3u8
glassmorphic-feature-tabs	Glassmorphic Feature Tabs	Tabs	features	hero	false		https://stream.mux.com/A01IZO00AKvw5azFRte61GufV00g003vyoS00t5Fm24xfvnA.m3u8
global-cta-footer	Global CTA Footer	CTA	cta	hero	false		https://stream.mux.com/Ke01H025DOoRXVi5GCpma026CEPvQ1RyTZCJvUE7FHT1b4.m3u8
growth-marketing-saas	Growth Marketing SaaS	Hero	hero	hero	false		https://stream.mux.com/3QMFUgJOJoclCn3i3dUJJQDapAuIhKin2VesnbIVThk.m3u8
guardnet-benefits	Guardnet Benefits	Benefits	features	hero	true		https://stream.mux.com/SBV27TUDUbYkA00tFUVZsRPxR02JXlgIBj02o5feiy47100.m3u8
guardnet-demo	Guardnet Demo	Info	about	hero	false		https://stream.mux.com/rwDvylZkgOHYOL8QD3elYD00RrX5OBOKRsHELepYrwfs.m3u8
halo-benefits	Halo Benefits	Why Us	features	hero	false		https://stream.mux.com/0001BkeTZ2PCFjJ01xi00dg02DGT6Tlrio00acdNUMgA00x3IU.m3u8
halo-use-case	Halo Use Case	Use Case	features	hero	true		https://stream.mux.com/E9DrmzPS0002Bt00vjGb200NYWY402kbFBGrf5gT02E5v5ASg.m3u8
intelligentx	IntelligentX	Hero	hero	hero	true		https://stream.mux.com/p3T02LKLfY2OQqvBPrSWQiYPjl01cgUdFQRtJi02JS9v400.m3u8
interior-features	Interior Features	Features	features	hero	false		https://stream.mux.com/ahLDmvcrRZGPBGD00j601B5qxKXslSGzGUAR9WIzT2Uog.m3u8
kova-features	Kova Features	Benefits	features	hero	false		https://stream.mux.com/hAWGJKD00eq8u02KX00021VEBQpi01GEV01QETwhyikhIR00Ig.m3u8
kova-testimonial	Kova Testimonial	Testimonial	testimonials	hero	false		https://stream.mux.com/uajH9024siIXzKHAW8EIuFDhR1EfiqFGQeTnhaTVSDAE.m3u8
launchex-about	LaunchEx About	About	about	hero	true		https://stream.mux.com/f4aefYW005EmODB002VzYjNAPuY7PB9NydSRUacK700faI.m3u8
launchex-submissions	LaunchEx Submissions	Features	features	hero	false		https://stream.mux.com/m8zP8lIqA4cCWuecz800MQGSoJZhAIw7Zk9Yt2s6d00Ic.m3u8
layered-depth	Layered Depth	Landing Page	hero	landing	false		https://stream.mux.com/1mqmhNvssKWJ7we02vIVi8zp0100t83TvYxGepZ55ETYf4.m3u8
learnly	Learnly	Hero	hero	hero	false		https://stream.mux.com/wbisnL029fQJ1i541Zb0201o1gLnIv5kCTaZ01oN42dfY3Y.m3u8
liquid-glass-cta	Liquid Glass CTA	CTA	cta	hero	true		https://stream.mux.com/egYtugPQFmrf5DOOc6Pl5I2JkBodddxegDJuPIvOKlg.m3u8
liquid-glass-features	Liquid Glass Features	Features	features	hero	false		https://stream.mux.com/7VjBj1wXQPkcUd02Aq00ZhzPFvr3Z02LudsAssi5nSPVEY.m3u8
luxury-botanical	Luxury Botanical	Landing Page	hero	landing	false		https://stream.mux.com/Ya16SfQkGw01VfZdyizyB7PMHLFUbuT1OWdNp2qkW00uY.m3u8
